Joe McEwing	statsd.aspx?playerid=887&position=2B/OF
Carlos Rivera	statsd.aspx?playerid=1749&position=1B
Ji-Man Choi	statsd.aspx?playerid=5452&position=1B/OF
Carlos Perez	statsd.aspx?playerid=10642&position=C
Alberto Callaspo	statsd.aspx?playerid=3336&position=2B/3B
Jermaine Dye	statsd.aspx?playerid=911&position=OF
Travis Denker	statsd.aspx?playerid=6155&position=2B
J.P. Arencibia	statsd.aspx?playerid=697&position=C
Kyle Schwarber	statsd.aspx?playerid=16478&position=OF
Orlando Cabrera	statsd.aspx?playerid=766&position=SS
Emilio Bonifacio	statsd.aspx?playerid=4054&position=2B/OF
Chris Dickerson	statsd.aspx?playerid=7095&position=OF
Roger Kieschnick	statsd.aspx?playerid=5225&position=OF
Miguel Sano	statsd.aspx?playerid=12164&position=3B/DH
Gaby Sanchez	statsd.aspx?playerid=3361&position=1B
Ramon Castro	statsd.aspx?playerid=514&position=C
Joey Wendle	statsd.aspx?playerid=13853&position=2B
Martin Prado	statsd.aspx?playerid=3312&position=3B
Jeff Bianchi	statsd.aspx?playerid=9958&position=3B/SS
Joe Panik	statsd.aspx?playerid=11936&position=2B
Luis Figueroa	statsd.aspx?playerid=776&position=2B/SS
Jon Jay	statsd.aspx?playerid=5227&position=OF
Carlos Maldonado	statsd.aspx?playerid=2034&position=C
Eider Torres	statsd.aspx?playerid=2905&position=SS/DH
Robby Hammock	statsd.aspx?playerid=1686&position=C
Tyler Saladino	statsd.aspx?playerid=10807&position=2B/3B
Geoff Blum	statsd.aspx?playerid=550&position=3B
Steve Selsky	statsd.aspx?playerid=12957&position=OF
Carlos Beltran	statsd.aspx?playerid=589&position=OF
David Freese	statsd.aspx?playerid=9549&position=3B
Ronny Paulino	statsd.aspx?playerid=2129&position=C
Chad Santos	statsd.aspx?playerid=2657&position=1B
Corban Joseph	statsd.aspx?playerid=5503&position=1B/2B
Alex Avila	statsd.aspx?playerid=7476&position=C
Tyler Austin	statsd.aspx?playerid=11850&position=1B
Alex Sanchez	statsd.aspx?playerid=708&position=OF
Mickey Lopez	statsd.aspx?playerid=2283&position=2B/DH
Jesse Winker	statsd.aspx?playerid=13590&position=OF
Darnell Sweeney	statsd.aspx?playerid=13284&position=2B/OF
Matt Adams	statsd.aspx?playerid=9393&position=1B
Alexis Gomez	statsd.aspx?playerid=1501&position=OF
Ronny Cedeno	statsd.aspx?playerid=2179&position=SS
Lenny Harris	statsd.aspx?playerid=1394&position=3B
Nick Punto	statsd.aspx?playerid=1429&position=2B/3B/SS
Darin Erstad	statsd.aspx?playerid=11&position=1B/OF
Jeremy Moore	statsd.aspx?playerid=7307&position=OF
Brock Stassi	statsd.aspx?playerid=12244&position=1B
Chris Barnwell	statsd.aspx?playerid=3499&position=2B/3B/SS
Brandon Berger	statsd.aspx?playerid=590&position=OF
Mario Encarnacion	statsd.aspx?playerid=1444&position=OF
Russell Martin	statsd.aspx?playerid=4616&position=C
Dallas McPherson	statsd.aspx?playerid=2194&position=3B
Andrew Stevenson	statsd.aspx?playerid=17932&position=OF
Adonis Garcia	statsd.aspx?playerid=13777&position=3B
Jace Peterson	statsd.aspx?playerid=12325&position=2B
Trayce Thompson	statsd.aspx?playerid=9952&position=OF
Guillermo Rodriguez	statsd.aspx?playerid=7011&position=C
Joe Inglett	statsd.aspx?playerid=7254&position=2B/OF
Jake Lamb	statsd.aspx?playerid=13329&position=3B
Donovan Solano	statsd.aspx?playerid=8623&position=2B
Jeff Clement	statsd.aspx?playerid=4652&position=C/1B
Eric Valent	statsd.aspx?playerid=1629&position=1B/OF
Ryan Kalish	statsd.aspx?playerid=6962&position=OF
Danny Santana	statsd.aspx?playerid=10322&position=SS/OF
Ron Calloway	statsd.aspx?playerid=1649&position=OF
Edgar Gonzalez	statsd.aspx?playerid=2963&position=2B
Yadiel Rivera	statsd.aspx?playerid=11863&position=2B/3B
Alcides Escobar	statsd.aspx?playerid=6310&position=SS
Luis Lopez	statsd.aspx?playerid=1901&position=1B/3B
Brendan Harris	statsd.aspx?playerid=2178&position=SS
Dan Wilson	statsd.aspx?playerid=1102&position=C
Adam Lind	statsd.aspx?playerid=8027&position=1B/DH
Damian Jackson	statsd.aspx?playerid=471&position=2B/SS
Mike Nickeas	statsd.aspx?playerid=7419&position=C
Josh Phegley	statsd.aspx?playerid=9308&position=C
Jeremy Hazelbaker	statsd.aspx?playerid=9399&position=OF
Jason Castro	statsd.aspx?playerid=8722&position=C
Angel Berroa	statsd.aspx?playerid=591&position=SS
Tim Federowicz	statsd.aspx?playerid=8609&position=C
Julio Mosquera	statsd.aspx?playerid=8218&position=C
Jose Molina	statsd.aspx?playerid=25&position=C
Paul Lo Duca	statsd.aspx?playerid=662&position=C
Irving Falu	statsd.aspx?playerid=6165&position=2B
Jeff Fiorentino	statsd.aspx?playerid=8024&position=OF
Jose Pirela	statsd.aspx?playerid=5485&position=2B/OF
Alex Rios	statsd.aspx?playerid=2090&position=OF
Jesus Guzman	statsd.aspx?playerid=3118&position=1B/OF
Darren Bragg	statsd.aspx?playerid=83&position=OF
Kila Ka'aihue	statsd.aspx?playerid=4707&position=1B/DH
A.J. Pierzynski	statsd.aspx?playerid=746&position=C
Bill Haselman	statsd.aspx?playerid=1254&position=C
Jose Reyes	statsd.aspx?playerid=1736&position=SS
Robinzon Diaz	statsd.aspx?playerid=3248&position=C
Brad Hawpe	statsd.aspx?playerid=1885&position=OF
Josh Satin	statsd.aspx?playerid=6788&position=1B/3B
Brent Clevlen	statsd.aspx?playerid=4863&position=OF
Paul Bako	statsd.aspx?playerid=676&position=C
Drew Stubbs	statsd.aspx?playerid=9328&position=OF
Endy Chavez	statsd.aspx?playerid=768&position=OF
Joaquin Arias	statsd.aspx?playerid=3817&position=3B
Rafael Ynoa	statsd.aspx?playerid=2832&position=3B/OF
Joe Borchard	statsd.aspx?playerid=224&position=OF
Michael Young	statsd.aspx?playerid=1286&position=SS
T.J. Bohn	statsd.aspx?playerid=4592&position=OF
Lou Merloni	statsd.aspx?playerid=201&position=2B/3B
Gary Bennett	statsd.aspx?playerid=420&position=C
L.J. Hoes	statsd.aspx?playerid=6656&position=OF
Callix Crabbe	statsd.aspx?playerid=4448&position=2B/SS/OF
John Bormann	statsd.aspx?playerid=18006&position=PH/PR
Jeff Larish	statsd.aspx?playerid=5128&position=1B/DH
David Peralta	statsd.aspx?playerid=2136&position=OF
Armando Rios	statsd.aspx?playerid=1006&position=OF
Mallex Smith	statsd.aspx?playerid=13608&position=OF
Sandy Martinez	statsd.aspx?playerid=784&position=C
Taylor Motter	statsd.aspx?playerid=12399&position=SS/OF
Warren Morris	statsd.aspx?playerid=1424&position=2B
Brad Nelson	statsd.aspx?playerid=3821&position=1B/OF
Tom Gregorio	statsd.aspx?playerid=1831&position=C
Daniel Muno	statsd.aspx?playerid=12214&position=3B
Craig Brazell	statsd.aspx?playerid=2081&position=1B
Hideki Matsui	statsd.aspx?playerid=1659&position=DH/OF
Nate Schierholtz	statsd.aspx?playerid=6201&position=OF
Eric Munson	statsd.aspx?playerid=481&position=3B
Osvaldo Martinez	statsd.aspx?playerid=3900&position=SS
Aaron Judge	statsd.aspx?playerid=15640&position=OF
Kevin Reese	statsd.aspx?playerid=2977&position=OF
Lucas May	statsd.aspx?playerid=5633&position=C
Chris Donnels	statsd.aspx?playerid=1396&position=3B
Michael Aubrey	statsd.aspx?playerid=6049&position=1B
Cristian Guzman	statsd.aspx?playerid=728&position=SS
Cole Gillespie	statsd.aspx?playerid=5888&position=OF
Mike Coolbaugh	statsd.aspx?playerid=1147&position=3B
Juan Brito	statsd.aspx?playerid=592&position=C
Jackson Williams	statsd.aspx?playerid=8524&position=C
Mendy Lopez	statsd.aspx?playerid=1458&position=SS
Mike Trout	statsd.aspx?playerid=10155&position=OF
Shelley Duncan	statsd.aspx?playerid=3620&position=DH/OF
Ryan Ludwick	statsd.aspx?playerid=1260&position=OF
Dwight Smith	statsd.aspx?playerid=13473&position=OF
Simon Pond	statsd.aspx?playerid=1898&position=DH/OF
Byron Buxton	statsd.aspx?playerid=14161&position=OF
Rey Fuentes	statsd.aspx?playerid=10329&position=OF
Yefri Perez	statsd.aspx?playerid=12090&position=2B/SS
Luis Durango	statsd.aspx?playerid=6533&position=OF
Andrew Lambo	statsd.aspx?playerid=5386&position=OF
